Date,Title,Excerpt,Category
20-01-2020,"Indigenous Participation in Nigeria’s Gas Sector Now 50%, Says NUPRC Boss Komolafe","Chief Executive of the Nigerian Upstream Petroleum Regulatory Commission (NUPRC), Mr Gbenga Komolafe, on Sunday said that with the surging",business
07-06-2022,"Multichoice Pays N8bn Deposit In ‘Tax Evasion’ Dispute, Tribunal Adjourns Ruling To October 20","In complying with the directives of the tax appeal tribunal (TAT), Multichoice Nigeria Limited has deposited an amount required by",business
01-08-2022,Nigeria’s Senate Intent on Passing Oil Reform Bill,"The Nigerian Senate has fixed October 20 to commence debate on the Petroleum Industry Bill (PIB), a move the Senate",politics
05-05-2021,"200,000 Undetected Tuberculosis Infections Occur Annually in Nigeria, Says FG","Nigeria's federal government on Thursday said despite significant progress made in the fight against tuberculosis (TB) epidemic in the country,",health
07-01-2020,UK Unemployment Rate Rises to 5.1% in Q4 2020 on Covid-induced Lockdown,The unemployment rate in the UK increased to 5.1% in the three months to December of 2020 from 5% in,business
31-12-2019,Unique Euro 2020 Set to Begin: All You Need to Know About Delayed Tournament,Euro 2020 gets underway on Friday - and what was already going to be a unique tournament will be notable,sports
05-04-2022,Maradona Moved to Rehab to Recover from Alcohol Abuse,Argentina legend Diego Maradona who was discharged from hospital on Tuesday has been taken to a recovery clinic to be,sports
31-03-2022,UEFA Abolishes 56-year Old Away Goals Rule in Major Shake-up of Club Competitions,UEFA on Thursday abolished away goals rule in European tournament knockout ties and will take effect from the 2021-22 season.,sports
17-03-2022,Trump Remains Defiant Amid Calls to Resign,President Donald Trump enters the last days of his presidency isolated and shunned by former allies and members of his,politics
18-06-2022,Shell Pledges To Surprise Investors with $7bn Payout On Shale Deal,"Barely two months after raising dividends by almost 40 percent and starting a $2 billion share buyback, Shell has again",business
14-02-2021,Man United’s Premier League Title Hopes Fade as Bruno Fernandes Rescues Draw at West Brom,Manchester United’s Premier League title hopes took a further hit as they were held to a 1-1 draw by West,sports
28-11-2020,Beyonce and Wizkid Win 6th Award with Brown Skin Girl,"Fresh off a historic win at the 2021 Grammys, Nigerian Afropop star Wizkid has scored another huge win. Beyonce’s Brown",entertainment
29-04-2021,Industrialist and Philanthropist Elumelu Urges African Leaders to Prioritise Job Creation,"The Chairman of the United Bank for Africa (UBA) and Founder of the Tony Elumelu Foundation (TEF), Mr. Tony Elumelu,",business
23-02-2019,"Germany, France Harden Stance, Push for EU Sanctions on Russians over Navalny Poisoning",France and Germany said on Wednesday they would propose European Union sanctions against Russian individuals after receiving no credible answers,politics
23-06-2022,"Disneyland Opens Friday, Highlighting California’s Covid Turnaround","Four months ago, America’s most populous state was struggling to combat a surge in coronavirus hospitalizations that packed patients into",entertainment
14-04-2020,Tunisia President Saied Withdraws Diplomatic Passport of Predecessor,"Tunisia’s President Kais Saied has said he will withdraw the diplomatic passport of one of his predecessors, Moncef Marzouki, after",politics
30-01-2021,"Obaseki, Ize-Iyamu Sign Peace Accord ahead of Edo Election",Candidates for the September 19 governorship election in Edo State signed a peace pact on Tuesday pledging violence-free election. The,politics
25-08-2022,Malawi Opposition Wants President Chakwera ‘Removed From Office’,Malawi’s former ruling party turned opposition wants last year's election nullified saying it was presided over by an electoral management,politics
25-04-2019,Yahoo Pulls out of China Over ‘Challenging’ Business Conditions,Yahoo has become the latest US tech company to end its presence in mainland China as tougher regulations are imposed,tech
27-01-2022,Algerian President Returns to Germany to Be Treated for Covid-19 Complications,Algerian President Abdelmadjid Tebboune flew back to Germany on Sunday for treatment in hospital for complications in his foot resulting,health
07-06-2020,"China Blames US for ‘Stalemate’ in Relations, as Talks Begin","China came out swinging at high-level face-to-face talks with the United States on Monday, blaming the U.S. for a “stalemate”",politics
05-03-2019,Popular Nigerian Music Producer Dr Frabz Reportedly Shot Dead in the US,"Popular Nigerian music producer, Ayorinde Faboro popularly known as Dr Frabz is dead. According to a tweet by popular singer",entertainment
05-11-2020,Donald Trump Sues Hillary Clinton Over Russian Collusion Allegations,"Former US President Donald Trump has sued Hillary Clinton and several other Democrats, accusing them of trying to rig the",politics
20-08-2020,Deloitte To Shut Four UK Office,Global accounting and consulting firm Deloitte will close four of its 50 British offices as it reviews its real estate,business
27-06-2019,"Nigeria:  4 Days to Presidential Primary, APC Still Divided on Zoning, May Reopen Sale of Forms","Four days to the rescheduled presidential primariy of the ruling All Progressives Congress (APC), billed to hold Monday, June 6,",politics
03-03-2020,UK Bans Binance in Latest Cryptocurrency Crackdown,"Britain's financial regulator has ordered Binance, one of the world's largest cryptocurrency exchanges, to stop all regulated activity and issued",business
19-05-2021,AFCON: Algeria’s 35-Match Undefeated Run Ends after Equatorial Guinea Loss,"Equatorial Guinea have caused the greatest upset so far at this year’s Africa Cup of Nations (AFCON), defeating continental champions",sports
21-11-2019,Kim Kardashian and Kanye West Agree Joint Custody of Children After Divorce,Kanye West has agreed to joint custody of his and Kim Kardashian's four young children. His response mirrors Kardashian's divorce,entertainment
25-05-2020,"Buhari Says Successor Will Inherit Stable Democracy, Revamped Security Forces","Nigeria President Muhammadu Buhari on Monday disclosed that by the time he leaves office on May 29, 2023, he would",politics
10-07-2021,Rice Farmers Buy APC Presidential Forms for Nigeria’s Central Bank Chief Emefiele,A coalition of rice farmers and other crop growers on Friday moved to drag the Governor of the Central Bank,politics
27-09-2022,Australian Open: Navratilova Blasts Peng Shuai T-Shirt Ban,Retired tennis star Martina Navratilova has blasted a decision by Australian Open organisers to ban T-shirts supporting Chinese player Peng,sports
27-03-2021,Former Super Eagles Player Barnabas Imenger Is Dead,"A former Super Eagles striker and Lobi Stars team manager Barnabas Imenger, is dead. The team’s media officer, Austin Tyowua",sports
09-10-2021,"Nigeria: Opportunistic Politicians Politicising Security, Buhari Says",Nigeria's President Muhammadu Buhari has condemned what he described as the increasing politicization of security in the country by opportunistic politicians.,politics
16-07-2019,GM’s 2020 China Sales Drop for Third Year as Pandemic Hits Market,"General Motors Co’s vehicle sales in China fell 6.2% in 2020, as the U.S. automaker suffered a prolonged sales slowdown",business
28-02-2019,Air Peace Makes History as First Airline to Land in Nigeria’s Southeast Anambra Airport,Air Peace has added another first to its kitty by becoming the first airline to land its aircraft at the,business
03-12-2020,Trump’s Defence Team Set to Present Speedy Case in Impeachment Trial,"Donald Trump's defence lawyers are set to present evidence in the US Senate, denying charges he incited insurrection in the",politics
14-02-2023,Indian PM Modi Loses in Battleground State of West Bengal Amid Covid Surge,Indian Prime Minister Narendra Modi's party has failed to win a key state in elections held amid record Covid-19 deaths,politics
01-08-2020,Boxing Legend ‘Marvelous’ Marvin Hagler Dies Aged 66,Former undisputed middleweight world champion 'Marvelous' Marvin Hagler has died at the age of 66. The American dominated the middleweight,sports
04-07-2022,Nigeria: Pressure Mounts on Government to Save Oil Windfall as Price Rallies at $71,"With the sustained rally of crude oil prices, there is pressure on Nigeria’s federal government to save the windfall as",business
25-03-2022,"Nigeria Football Federation Hijacks Eguavoen’s Stade Malien Move,  Appoints Him Technical Director","Former Super Eagles Head Coach, Austin Eguavoen, 55, was Tuesday announced as the new Technical Director of the Nigeria Football",sports
10-07-2022,"Tesla’s Vehicle Price Increases Due to Supply Chain Pressure, Musk Says","The price of Tesla (TSLA.O) vehicles is increasing due to supply chain pressures across the auto industry, particularly for raw",tech
07-01-2022,Bayern Munich Targets US Fans to Close the Financial Gap with Premier League,"Bayern’s aim is to help stimulate interest in the German league, which is far behind the Premier League in terms",sports
10-03-2023,Mobile Subscribers in Nigeria Must Submit Phone ID From July,"Beginning from July, Nigerians must begin submission of their phones International Mobile Equipment Identity (IMEI) to the Nigerian Communications Commission (NCC). According to the commission, this",tech
01-07-2022,"More Nigerian Banks to Adopt HoldCo Structure to Diversify Earnings, Analysts Say",Analysts have predicted that more commercial banks will soon convert to a holding company (HoldCo) structure as they seek to,business
27-12-2020,Cathay Pacific ‘Confident’ Despite $637m First-Half Loss,"Asian equity markets declined on Wednesday as traders braced for the latest data on US inflation, which could influence the",business
18-10-2022,Twitter Flags Trump Tweet That Claims He’s Immune to COVID-19,Twitter on Sunday flagged a tweet by Donald Trump in which the US President claimed he was immune to the,health
12-10-2020,Nigeria’s Auditor General Reveals 107 Million Barrels of Crude Oil Missing in 2019,The audit report of the Auditor General for the Federation has revealed that the defunct Nigeria National Petroleum Company (NNPC),business
06-11-2020,Nigerian Airlines Warn Only Three Days to Shut Down Operations Over Aviation Fuel Scarcity,Airline Operators in Nigeria on Monday warned that they have only three days left to shut down operations over lingering,business
04-03-2023,"In Push for Free Market, Nigeria Begins Implementation of New Gas Pricing Framework",The Nigerian Midstream and Downstream Petroleum Regulatory Authority (NMDPRA) at the weekend said that it had established a new Domestic,business
18-12-2020,Nigeria’s State-owned Oil Company Says $10bn Infrastructural Investment Ongoing in Energy Sector,"The Group Managing Director of Nigeria’s state-owned oil company, the Nigerian National Petroleum Corporation (NNPC), Mallam Mele Kyari, has said",business
28-02-2022,Fresh Concerns in Nigeria as Crude Oil Price Slumps below $40,"The price of Brent, the benchmark for Nigeria’s crude oil, fell below $40 per barrel to a four-month low of",business
29-10-2019,Trump Ready to Leave White House If Electoral College Votes for Biden,US President Donald Trump said on Thursday he will leave the White House if the Electoral College votes for Democratic,politics
24-01-2019,Verstappen Wins First F1 Title in Last Lap Drama,"Red Bull’s Max Verstappen won the Formula One championship, denying Lewis Hamilton a record eighth, with a last-lap overtake to",sports
14-12-2020,"Tearful Adele Postpones First Live Concerts in Five Years, 24 Hours Before Opening Night","Adele has postponed her entire Las Vegas residency, just 24 hours before the opening night. ""I'm so sorry, but my",entertainment
08-09-2020,Uber Posts Better Than Expected Loss of $6.8bn in 2020,"Uber, the ride hailing app based taxi posted a loss of about 6.8 billion dollars last year. This is better",business
14-03-2020,South Korea’s Antitrust Regulator To Fine Google $177m Over Improper Mobile Market Dominance,"South Korea’s competition regulator has vowed to fine Google the U.S. tech giant, $176.9 million (207.4b Korean won) for allegedly",business
02-09-2020,Israel Seals $237m Vaccine Deal with Pfizer,Prime Minister Benjamin Netanyahu on Friday announced that Israel signed a deal with Pfizer to purchase millions of coronavirus vaccine,health
31-10-2021,Covid-19: Israel Starts Reopening as Number of Those Vaccinated Nears 50%,Israel reopened swathes of its economy on Sunday in what it called the start of a return to routine enabled,health
01-03-2023,Bayern Munich ‘Disapprove’ of Flick’s Desire to Leave Coaching Role,"Bayern Munich have announced that they ""disapprove"" with coach Hansi Flick's plans to leave the club at the end of",sports
17-08-2022,Nigeria: Appeal Court Joins Lagos in VAT Collection Tussle,Nigeria’s Court of Appeal in Abuja on Thursday joined Lagos State as a respondent in the appeal challenging the judgment,business
06-01-2021,Kenin Downs Kvitova to Set up French Open Final with Swiatek,"Sofia Kenin on Thursday defeated Petra Kvitova 6-4, 7-5 to reach the French Open final and attempt to capture a",sports
12-05-2020,Burna Boy Releases Visuals for ‘Way Too Big’,"Nigerian popstar Burna Boy has released the visuals for ‘Way Too Big’, the latest single from his album, ‘Twice as",entertainment
25-02-2023,Bitcoin Value Drops by 50% Since November Peak,"The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (£27,630), according to the Coinbase",business
04-07-2020,"Mariah Carey, Ariana Grande and Jennifer Hudson Team Up in Christmas Song","Mariah Carey has teamed up with two vocal powerhouses, Ariana Grande and Jennifer Hudson, for a new version of her original Christmas song, “Oh Santa!”",entertainment
18-09-2021,AfDB President Adeshina Cautions Nigeria Against Increasing Taxes,"The President of the African Development Bank (AfDB), Dr. Akinwumi Adesina Tuesday said despite the country's low tax to Gross",business
05-06-2020,Nigeria: Former Central Bank Governor Soludo Wins Anambra APGA Governorship Primary,"Charles Soludo, a former Governor of Nigeria's Central Bank has won the governorship primary of the All Progressives Grand Alliance",politics
19-02-2019,S And P Global  Revises Nigeria’s Sovereign Credit Rating To Positive From Negative,"Global leading rating agency, Standard & Poor’s has affirmed Nigeria’s sovereign credit rating at B+ and revised its outlook from",business
30-05-2020,UBA Launches Dubai Branch as Part of EMEA Expansion,"The UBA Group will now be able to harness opportunities in the Middle East, Africa and South Asia.Read more",business
19-11-2020,"Intels Says Buhari’s Administration Not Interfering in Its Business, Attributes Severance from Atiku to Economic Decision",Intels Nigeria Limited with its parent company Orlean Invest Holding has denied reports that its business has at some time,politics
18-05-2020,"Nigeria: South-east, South-south Leaders Reject PDP’s Panel Report, Insist on Power Shift","South-east and South-south leaders on Friday rejected the report of a committee set up by the Peoples Democratic Party (PDP),",politics
08-06-2022,"Nigeria: NCC Confirms MTN, Airtel, Mafab Communications for 3.5GHz Spectrum","The Nigerian Communications Commission (NCC), on Thursday confirmed that three telecoms operators submitted their Expression of Interest (EoI) to the",tech
17-07-2021,Whyte Avenges Defeat with Knockout Win Over Povetkin in Gibraltar Rematch,Dillian Whyte kept alive his hopes of a heavyweight world title shot by emphatically gaining revenge over Alexander Povetkin with,sports
06-05-2021,Investigations Widen into Deadly Stampede that Killed 8 at Houston Rap Concert,"At least two investigations, one of them criminal, were underway on Sunday into the deadly stampede during rap star Travis",entertainment
02-07-2022,"Morocco 2022: Super Falcons Soar to 2-0 Win Over Botswana, Rise to 2nd Spot in Group C",Cup holders Nigeria set their 12th Women Africa Cup of Nations campaign back on track with a 2-0 win over,sports
08-05-2022,Toriola to Resume as CEO of MTN Nigeria March 2021,"MTN Group has appointed Mr. Karl Toriola, a Nigerian from Osun State, as MTN Nigeria Chief Executive Officer (CEO) designate, with effect",business
24-06-2020,Access Bank to Support Education with $1.7m Raised at UK Polo Tournament,"The money, the bank explained, would be directed towards building and equipping of over 100 classroom blocks in the less",business
01-09-2019,Standard Chartered Bank Collaborates With Access Bank on $500m Senior Eurobond,"Access Bank Plc has launched it's $500 million Senior Unsecured Eurobond. Standard Chartered Bank is collaborating with the bank, acting",business
21-12-2021,Twitter Blocks Accounts Over India Farmers Protest on Government Order,"Twitter on Monday temporarily blocked dozens of accounts and tweets in India at the Hindu nationalist government’s request, including those",tech
11-11-2022,"NBA, Basketball Africa League Launch Gender Equality Initiative","In commemoration of International Women’s Day, the National Basketball Association (NBA) and the Basketball Africa League (BAL) has announced the launch",sports
21-03-2019,"Adeleke Vows to Defend, Retain His Victory in Osun",Governor Oyetola claims Adeleke forged the certificates submitted to INEC and did not comply with the provisions of the Electoral,politics
02-02-2021,Crystal Palace 1-4 Chelsea: Pulisic Scores Twice as Brilliant Blues Move Back into Top Four,Christian Pulisic scored twice as Chelsea produced a brilliant performance to move back into the top four with a comfortable,sports
01-02-2020,AstraZeneca’s ‘Mistake’ in Covid Vaccine Trials Could Halt Approval,AstraZeneca’s coronavirus vaccine is coming under intense scrutiny after its UK scientists made a major “mistake” during trials — one,health
02-05-2021,Nigeria: PDP Governors Reach Deal with Embattled Party Chairman to Bring Convention Forward,"After meeting for over 40 minutes behind closed doors on Monday, the Peoples Democratic Party (PDP) governors and the embattled",politics
04-04-2019,"Ekiti Has Attracted Over $100m Investment in Three Years, Governor Fayemi Says","Governor of Nigeria’s Ekiti State, Dr. Kayode Fayemi, has disclosed that his administration had attracted over $100 million investment to",business
05-02-2022,Novavax Covid-19 Vaccine Shows 89% Efficacy in UK Trials,Novavax Inc has said its coronavirus vaccine is 89.3% effective in preventing Covid-19 in a trial conducted in the United,health
30-10-2020,Champions League: Ramos to Miss Real Madrid’s Opener with Shakhtar,Sergio Ramos will miss Real Madrid's clash with Shakhtar Donetsk in the Champions League while Eden Hazard's fitness is improving,sports
29-09-2021,‘Song of the Summer’: Justin Bieber Thanks Wizkid For ‘Essence’ Remix Feature,American pop singer Justin Bieber has thanked Nigerian afrobeats exponent Wizkid for having him on the remix of his global,entertainment
08-04-2019,Netflix Explores Life of Hip Hop Icon Biggie in New Documentary,"A documentary on the life and career of The Notorious B.I.G. is officially coming to Netflix, and the streaming service has unveiled",entertainment
24-06-2022,"Nigeria: With Rising Debt Service Cost, Economists Urge FG to Reprioritise Expenditure",Nigeria's Finance Minister Zainab Ahmed sounded the alarm bells when she said the country’s debt service cost outstripped its revenue.Read more,business
09-06-2021,Americans Go to the Polls in Most Divisive Election in Decades,"Millions of Americans are voting in person on Tuesday, adding their ballots to the more than 99 million already cast",politics
24-03-2022,LA Lakers Double Lead over Miami Heat in NBA Finals with 124-114 win,LeBron James scored 33 points as the Los Angeles Lakers moved to within two wins of their first NBA title,sports
17-03-2019,Nigeria’s Private Refineries’ Operators Groan Under Weight of Crude Scarcity as NNPC Focuses on Export,"The few small-scale refineries operating in Nigeria are facing a huge challenge of crude oil supply, as the Nigerian National",business
20-03-2021,Seven Lawmakers Arrested in Hong Kong,Seven pro-democratic lawmakers were arrested in Hong Kong on Sunday on charges related to obstructing a legislative council meeting in,politics
21-03-2022,"Presidential Election: Muslim Running Mates for APC, PDP will Set Nigeria on Fire, Christian Leaders Warn","Ahead of the 2023 general elections, the Christian Association of Nigeria (CAN) has warned political actors of the consequences of",politics
25-07-2019,"TotalEnergies Invests Almost $30bn in Nigeria Within Eight Years, Government Says","Nigeria's federal government has disclosed that French oil major, TotalEnergies EP Nigeria Limited, has invested almost $30 billion in Nigeria's",business
26-07-2019,"As Google Eyes Australia Exit, Microsoft Talks Bing with PM",Software giant Microsoft Corp is confident its search product Bing can fill the gap in Australia if Google pulls its,tech
03-09-2020,Russian Module Mishap Destabilises International Space Station,"The International Space Station (ISS) was destabilised after engines of a newly-arrived Russian module inadvertently fired up, officials say. ""Mission",tech
02-11-2020,"Nigeria: Rivers Governor Wike Shuns Governor Obaseki During Visit to Edo, Meets State’s Delegates","The political difference between the Rivers State Governor, Nyesom Wike, and his Edo State counterpart, Godwin Obaseki, appears not to",politics
28-10-2019,China Launches Antitrust Probe into Tech Giant Alibaba,China has launched an antitrust investigation into Alibaba Group and will summon the technology giant’s Ant Group affiliate to meet,business
21-12-2022,Covid-19: Madagascar Begins Inoculations to Suppress Second Wave,Madagascar has started vaccinating its population against COVID-19. The first phase of the campaign is focusing on frontline staff such,health
14-02-2023,"OPEC+ Resolves Impasse, to Boost Production by 400,000bpd","After over a two-week stalemate, the Organisation of Petroleum Exporting Countries (OPEC) and its allies, known as OPEC+ on Sunday",business
17-09-2022,"European Clubs Don’t Trust African Keepers, Former Super Eagles Goalie Says","Nigeria's Dele Aiyenugba, who won two African Champions League titles with Enyimba, said Wednesday that European clubs didn’t trust black",sports
13-03-2019,Simone Biles will not defend her Olympic gold medal on floor exercise.,"USA Gymnastics announced Sunday that the six-time Olympic medalist has opted not to compete on floor, where she won gold",sports
09-03-2019,Nigeria’s Sports Minister Demands Victory as Super Eagles Depart for Freetown,"Nigeria’s Minister of Youth and Sports Development, Sunday Dare, has insisted that only a win in Freetown will be acceptable",sports
11-06-2020,Nigeria’s External Reserves Rise By  $587.8m in Seven Days,Nigeria's total amount of external reserves has increased by about $587.8 million in one week. According to the data published,business
11-06-2021,FCMB Founder Subomi Balogun Gifts UI $13m Pediatrics Hospital,"The founder of FCMB Group, Chief Olasubomi Balogun, has donated his Otunba Tunwase National Pediatrics Centre (OTNPC) in Ijebu Ode",business
02-02-2019,Neymar Would Rather Brazil Play Argentina in Copa America Final,Brazil forward Neymar says he hopes Argentina will be their opponents in the Copa America final and has no doubts,sports
17-01-2020,"Morata Goal Sends Spain to World Cup, Consigns Sweden to Play-offs",Alvaro Morata's late goal helped Spain qualify for the 2022 World Cup and consigned Sweden to the play-offs. Sweden goalkeeper,sports
24-10-2021,Nigeria: APC Begins Sale of Forms on Monday Ahead of National Convention,The All Progressives Congress (APC) will on Monday commence the sale of forms to all aspirants vying for national offices,politics
01-07-2020,Nigeria: Police Whisk Away Ex-Imo Governorship Contestant Nwosu in Dramatic Arrest,"The Imo State Police Command, confirmed on Sunday the arrest of a former governorship candidate of the Action Alliance (AA),",politics
12-08-2021,Oil Rises to Near One-Year Highs After US Stock Drawdown,"Oil prices rose almost 2% on and hovered near their highest levels in about a year, after government data showed",business
23-03-2019,"Nigeria: Oil Marketers Raise the Alarm, Accuse Airline Operators of Trying to Force Subsidy on Aviation Fuel",Some petroleum products marketers in Nigeria have warned that the pressure being mounted by local airline operators on the federal,business
01-07-2022,Fulham Relegated From Premier League Following Burnley Loss,"Fulham were relegated from the Premier League on Monday after losing 2-0 at home to fellow strugglers Burnley, who secured",sports
30-10-2022,"CBN’s Covid Interventions Account for 3.5% of Nigeria’s GDP, Emefiele Says","The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, has disclosed that the apex bank’s interventions to",business
19-04-2019,"Nigerian Magnate Otedola Acquires Additional Stake in First Bank Holdings, Consolidates Largest Shareholder Status","Nigeria’s billionaire magnate and chair of Geregu Power Plc Femi Otedola has acquired a further interest in FBN Holdings Plc,",business
19-02-2020,"Nigeria: Entrenched APC Interests Desperate to Blackmail Me, Governors’ Chairman Fayemi Says","Ekiti State Governor and Chairman of the Nigeria Governors’ Forum (NGF), Dr. Kayode Fayemi, has disclosed that there are some",politics
17-07-2019,"Over 600 Journalists have Died of COVID-19 Worldwide, New Report Shows","Over 600 journalists have died worldwide due to the Covid-19 pandemic, a new report by the Press Emblem Campaign (PEC)",health
25-09-2020,"Napoli Handed 0-3 Loss, Have Point Deducted for Juve ‘No Show’",Victor Osimhen and his Napoli teammates have suffered the consequence of refusing to go to Turin to play Juventus in,sports
14-05-2022,Drama as Joe Igbokwe Pulls Down Post Saying Wike Visited Tinubu in France,Barely a few hours after the Tinubu Media Office debunked reports that the presidential standard-bearer of the All Progressives Congress,politics
26-08-2019,"FA Cup Final, World Snooker Championship Among UK’s Pilot Events For Fan Return",The FA Cup final and the World Snooker Championship are to be used as pilot events as part of the,sports
02-04-2022,Scientists Question Evidence Behind US Covid Booster Shot Drive,The Biden administration’s plan to provide Covid-19 vaccine boosters is based on concerns that a decrease in the vaccines’ ability,health
04-01-2021,Oil Price Uptick Boosts Nigeria’s External Reserves’ Accretion by $404m,"Nigeria’s external reserves have maintained a positive momentum in the past two weeks, rising by $404 million to $34.820 billion",business
25-06-2019,Nigerian Sprinter Blessing Okagbare Banned 10 Years for Doping,"Nigeria’s 2008 long jump silver medalist Blessing Okagbare has been banned for 10 years for doping, the Athletics Integrity Unit",sports
01-03-2022,Obama Blasts Trump in 2020 Campaign Trail Debut,Former President Barack Obama returned to the campaign trail on Wednesday with a blistering attack on Donald Trump with less,politics
24-07-2020,"Pfizer Says Covid-19 Vaccine Safe, Effective On Adolescents in Trial","Pfizer and BioNTech have announced that their Covid-19 vaccine is safe and effective in 12- to 15-year olds, paving the",health
22-03-2020,Elon Musk’s Ultimatum to Tesla Execs: Return to the Office or Get Out,"The world’s richest man appears to have had it with this whole working-from-home business. Elon Musk, chief executive officer of",tech
01-12-2019,New Virus Variant Detected in India; Experts Urge Caution,"A new and potentially troublesome variant of the coronavirus has been detected in India, as have variants first detected in",health
23-05-2021,"TotalEnergies Moves to Connect New 50,000 Barrels Per Day Oilfield to Deepwater Storage","Multinational oil and gas company, TotalEnergies, has said its effort to increase oil production in Nigeria would materialise this year,",business
31-07-2020,"Buhari to Attend African Finance Summit in France, to Meet President Macron",Nigeria President Muhammadu Buhari is set to meet France President Emmanuel Macron when he departs for the European nation on,business
21-07-2022,Egypt’s Al Ahly Beat Kaizer Chiefs 3-0 to Win Record Tenth African Crown,Egyptian heavyweights Al Ahly beat Kaizer Chiefs 3-0 in Morocco on Saturday night to become the first side in history,sports
23-11-2021,Mexican President López Obrador Tests Positive for Covid-19,"Mexican President Andrés Manuel López Obrador has tested positive for COVID-19, a development that comes as his country registers the",health
12-06-2021,Report: Nigeria Is Africa’s Third Most Attractive Destination for Foreign Investment,The Absa Africa Financial Markets Index 2021 (AAFMI) has ranked Nigeria as the third most attractive country in Africa for,business
31-12-2019,Congo Presidential Candidate in Hospital with Covid-19 as Polls Open,The leading opposition candidate in Congo-Brazzaville's presidential election is in hospital with Covid-19 while voting is under way. After casting,politics
17-03-2023,Copa America: Neymar Inspires Brazil to 4-0 Win over Peru,Neymar moved to within nine goals of Pele's all-time scoring record as Brazil eased past Peru to earn a second,sports
12-01-2021,US Backs WTO’s Push for Covid Vaccine Patent Waivers,The US has thrown its support behind an initiative at the World Trade Organization (WTO) to waive intellectual property protections,health
02-08-2021,"Nigeria: South, Middle Belt Leaders Urge Parties to Zone Presidency to South",The Southern and Middle Belt Leaders Forum (SMBLF) has met in Abuja and once again demanded the return of power,politics
05-10-2019,"Concerns Mount as British Airways, Emirates Cancel Flights to US over 5G",International airlines are beginning to cancel scheduled flights to most cities in the Unites States over fear of 5G network,business
18-06-2022,Nigeria: PDP Fixes National Convention For October 29-30,"Nigeria's opposition People's Democratic Party (PDP) has submitted a tentative date of October 30-31st, 2021 for its national convention. The",politics
25-09-2022,"APC Chair Adamu Pledges to Work Hard for Tinubu, Northern Governors Visit Flagbearer","The National Working Committee (NWC) of the All Progressives Congress (APC), led by the national chairman, Senator Abdullahi Adamu, visited",politics
